Site,Minutes of Data Used (Max 1440),Last Minute of Data Series,,,,,,,,,,,,,,,
NewportSalop,1440,18/03/2023 08:50,,,,,,,,,,,,,,,
Daily Summary Data,,,,,,,,,,,,,,,,,
Date,Time,Dry Bulb Max 09-21,Dry Bulb Min 09-21,Rainfall Total 09-21,Dry Bulb Max 21-09,Dry Bulb Min 21-09,Rainfall Total 21-09,Dry Bulb Max 09-09, Dry Bulb Min 09-09,Rainfall Total 09-09,Grass Min 18-09,Concrete Min 18-09, 10cm Soil,30cm Soil,100cm Soil,Radiation Total Previous Day 00-24, Sunshine Total Previous Day 00-24
18/03/2023,900,15.2,10.3,3.2,11.1,8.7,2.2,15.2,8.7,5.4,6.2,,8.4,8.1,7.6,,
Hourly Summary Data,,,,,,,,,,,,,,,,,
Date,Time,Battery Voltage,Logger Temperature,Dry Bulb Temperature,Dew Point Temperature,Grass Temperature,Concrete Temperature, 10cm Soil Temperature,30cm Soil Temperature,100cm Soil Temperature, Rainfall Total since 0900,Radiation Total since 0900, Sunshine total since 0900,Humidity,Wind Speed 10 Minute Mean,Wind Direction 10 Minute Mean,
17/03/2023,1000,,,11.5,9.4,13.6,,7.2,7.3,7.4,0,,,86.9,,,
17/03/2023,1100,,,12,9.1,14.6,,7.7,7.3,7.4,0,,,82.5,,,
17/03/2023,1200,,,13.4,9,17.8,,8.3,7.3,7.4,0,,,74.8,,,
17/03/2023,1300,,,14.5,9.2,21.5,,9,7.3,7.4,0,,,70.3,,,
17/03/2023,1400,,,14.1,8.2,16,,9.6,7.3,7.5,0,,,67.5,,,
17/03/2023,1500,,,11.4,8.8,10.6,,9.7,7.4,7.5,1.6,,,84.3,,,
17/03/2023,1600,,,13.4,9.6,13.5,,9.8,7.4,7.5,3,,,78,,,
17/03/2023,1700,,,13.5,7.8,12.3,,9.9,7.5,7.5,3,,,68.4,,,
17/03/2023,1800,,,11.8,8.1,10.3,,9.9,7.6,7.5,3,,,77.8,,,
17/03/2023,1900,,,11.2,8.7,9.7,,9.7,7.7,7.5,3,,,84.1,,,
17/03/2023,2000,,,11.1,8.8,9.5,,9.5,7.8,7.5,3.2,,,85.7,,,
17/03/2023,2100,,,11.1,8.6,9.6,,9.3,7.9,7.5,3.2,,,84.4,,,
17/03/2023,2200,,,10.9,8.6,9.5,,9.1,7.9,7.5,3.2,,,85.3,,,
17/03/2023,2300,,,10.4,8.9,9.4,,9,8,7.5,4.6,,,90.5,,,
18/03/2023,0,,,10.4,9.1,9.5,,8.9,8,7.5,5.2,,,91.6,,,
18/03/2023,100,,,10.3,9,9.4,,8.9,8,7.5,5.2,,,92.2,,,
18/03/2023,200,,,9.9,8.7,8.9,,8.8,8,7.5,5.2,,,92.3,,,
18/03/2023,300,,,9.5,8.3,7.6,,8.7,8.1,7.5,5.4,,,92,,,
18/03/2023,400,,,9,8,6.9,,8.5,8.1,7.5,5.4,,,93.8,,,
18/03/2023,500,,,8.9,8.1,7.5,,8.4,8.1,7.5,5.4,,,94.5,,,
18/03/2023,600,,,9.1,8.4,8.6,,8.3,8.1,7.5,5.4,,,95.1,,,
18/03/2023,700,,,9.3,8.7,9,,8.2,8.1,7.5,5.4,,,95.9,,,
18/03/2023,800,,,9.8,8.9,9.8,,8.3,8.1,7.6,5.4,,,94.1,,,
18/03/2023,900,,,10.6,9,12.1,,8.4,8.1,7.6,5.4,,,89.7,,,